File name, MAC, Probvector
api-ms-win-downlevel-ole32-l1-1-1 - Copy (3).dll, fbb314db15c82c5a9f5f85ee42be2b79, 0.010889894
api-ms-win-downlevel-ole32-l1-1-1 - Copy (4).dll, f3746e20e884ea8825f486ae74e296f3, 0.010783778
api-ms-win-downlevel-ole32-l1-1-1 - Copy.dll, f0dcec00b33403007697caddce002fda, 0.010669851
api-ms-win-downlevel-ole32-l1-1-1.dll, e945df5a914a265a76f76b84882dd449, 0.010548385
api-ms-win-downlevel-shell32-l1-1-0 - Copy (2).dll, ae629afb095980d1a0c23eb0bab1820c, 0.010419664
api-ms-win-downlevel-shell32-l1-1-0 - Copy (3).dll, 15deb3870c388187bbd23f669c2faf9f, 0.01028399
api-ms-win-downlevel-shell32-l1-1-0 - Copy (4).dll, a5bd4ad2530c6ddee9845d13d4a5d32b, 0.010141676
api-ms-win-downlevel-shell32-l1-1-0 - Copy.dll, 2da8b807b65b1ed73fead88be803d8a0, 0.009993048
api-ms-win-downlevel-shell32-l1-1-0.dll, 31fd39c9be3a080a33f1b38ebeff5763, 0.009838443
api-ms-win-downlevel-shlwapi-l1-1-0 - Copy (2).dll, 23b604572ae758341d22e1de7669e6a0, 0.009678207
api-ms-win-downlevel-shlwapi-l1-1-0 - Copy (3).dll, 92ae6c4977fb1a541285b7dc7d875573, 0.009512697
api-ms-win-downlevel-shlwapi-l1-1-0 - Copy (4).dll, 6f7657c982b252f06e1ccf7878135fcc, 0.009342272
api-ms-win-downlevel-shlwapi-l1-1-0 - Copy.dll, bb34239b1d84f2a6e8cc85013c89555d, 0.009167303
api-ms-win-downlevel-shlwapi-l1-1-0.dll, 50bc957852d56cd0469c40b516631e5d, 0.00898816
api-ms-win-downlevel-shlwapi-l1-1-1 - Copy (2).dll, 4b31ddac3154d0e9bd75c1542750fbca, 0.008805218
api-ms-win-downlevel-shlwapi-l1-1-1 - Copy (3).dll, bff334af4c60afa3de729a42a9a5c4e0, 0.008618857
api-ms-win-downlevel-shlwapi-l1-1-1 - Copy (4).dll, a77a1b0e574c593102e563b63d507e95, 0.008429452
api-ms-win-downlevel-shlwapi-l1-1-1 - Copy.dll, d87f15018519e9144b49cb0afb728c59, 0.008237382
api-ms-win-downlevel-shlwapi-l1-1-1.dll, b9f229227c7acdf975f407f70ea6e00d, 0.008043021
api-ms-win-downlevel-shlwapi-l2-1-0 - Copy (2).dll, 3d5afb5fc50f2aa0359a4b5aeb80dbf7, 0.007846742
api-ms-win-downlevel-shlwapi-l2-1-0 - Copy (3).dll, e65de95a09a52ea9e3c5a65ae1c9fb37, 0.007648912
api-ms-win-downlevel-shlwapi-l2-1-0 - Copy (4).dll, b4df1a0834344ca750f1b2f5043b2ace, 0.007449895
api-ms-win-downlevel-shlwapi-l2-1-0 - Copy.dll, ca83a1923bd6fa6942a3881dfe08817f, 0.007250047
api-ms-win-downlevel-shlwapi-l2-1-0.dll, ce4da357e3cee4461dfcafd072c84fcf, 0.007049716
api-ms-win-downlevel-user32-l1-1-0 - Copy (2).dll, b39a0ac64c8fdb66dea6ce60754ad550, 0.006849243
api-ms-win-downlevel-user32-l1-1-0 - Copy (3).dll, 071a31d83ba54fa49f44eabf792a93a9, 0.00664896
api-ms-win-downlevel-user32-l1-1-0 - Copy (4) - Copy.dll, 8f117cc13fc626144e59106275cb3f59, 0.006449187
api-ms-win-downlevel-user32-l1-1-0 - Copy (4).dll, eaf08044bc105479dc35e0ad8c4c095b, 0.006250236
api-ms-win-downlevel-user32-l1-1-0 - Copy (5).dll, 020ca1d69a8906b3892d7f66dd37a84e, 0.006052406
api-ms-win-downlevel-user32-l1-1-0 - Copy - Copy.dll, 2dfe09aea9dc1a0d5ae7ca0a7498b1bb, 0.005855983
api-ms-win-downlevel-user32-l1-1-0 - Copy.dll, 989a3cd2169228142a77ac75e963cc19, 0.005661242
api-ms-win-downlevel-user32-l1-1-0.dll, 2eb7cecdc87310d758b25ddd942725e7, 0.005468445
api-ms-win-downlevel-user32-l1-1-1 - Copy (2) - Copy.dll, afcccb4146256722b88aa65d3f689c69, 0.005277838
api-ms-win-downlevel-user32-l1-1-1 - Copy (2).dll, 469fa46eecbd2ca6de9e7511c757589a, 0.005089656
api-ms-win-downlevel-user32-l1-1-1 - Copy (3) - Copy.dll, f69d716b51b992ab912922de8a6a3306, 0.004904119
